id;semt_bucak_belde;ilce_id
554;ÇÜNGÜŞ;248
555;DABAKHANE;125
556;DADAY;249
557;DALAMA;304
558;DALAMAN;250
559;DAMAL;251
560;DAMLALI;894
561;DARENDE;252
562;DARGEÇİT;253
563;DARICA;254
564;DATÇA;255
565;DAVAZLAR;262
566;DAVULTEPE;681
567;DAVUTKADI;959
568;DAZKIRI;256
569;DEDELİ;737
570;DEFNE;257
571;DEĞİRMENDERE;376
572;DEĞİRMENDERE;621
573;DEĞİRMENKÖY;810
574;DELİCE;258
575;DEMETEVLER;945
576;DEMİRCİ;259
577;DEMİRCİLER;670
578;DEMİRKÖY;260
579;DEMİRLİBAHÇE;611
580;DEMİRÖZÜ;261
581;DEMİRTAŞ;724
582;DEMRE;262
583;DENİZBOSTANLISI;523
584;DENİZLİ;806
585;DERBENT;263
586;DERBENT;895
587;DEREBOYU;630
588;DEREBUCAK;264
589;DEREKÖY;649
590;DERELİ;265
591;DEREPAZARI;266
592;DERİK;267
593;DERİNCE;268
594;DERİNKUYU;269
595;DERNEKPAZARI;270
596;DEVELİ;271
597;DEVELİ;621
598;DEVREK;272
599;DEVREKANİ;273
600;DIŞKAPI;48
601;DİCLE;274
602;DİGOR;276
603;DİKİLİ;277
604;DİKMEN;201
605;DİKMEN;278
606;DİLEK;789
607;DİLEK;956
608;DİLEKTEPE(ZİYARET);129
609;DİLOVASI;279
610;DİNAR;280
611;DİNEK;684
612;DİRMİL;54
613;DİVRİĞİ;281
614;DİYADİN;282
615;DODURGA;169
616;DODURGA;283
617;DOĞANBEY;794
618;DOĞANHİSAR;284
619;DOĞANKENT;285
620;DOĞANKENT;967
621;DOĞANŞAR;286
622;DOĞANŞEHİR;287
623;DOĞANYOL;288
624;DOĞANYURT;289
625;DOĞRUCA;117
626;DOĞUBAYAZIT;290
627;DOĞUKENT;641
628;DOKUMA;543
629;DOMANİÇ;291
630;DOSAB;724
631;DÖRTDİVAN;292
632;DÖRTYOL;293
633;DÖŞEMEALTI;294
634;DUAÇINAR;959
635;DUATEPE;864
636;DUMLUPINAR;296
637;DUMLUPINAR;628
638;DURAĞAN;297
639;DURALİLER;543
640;DURHASAN;259
641;DURSUNBEY;298
642;DURSUNLU;384
643;DUTLUCA;539
644;DÜDENBAŞI;543
645;DÜZ MAHALLE;50
646;DÜZİÇİ;299
647;DÜZKÖY;300
648;DÜZTEPE;846
649;ECEABAT;301
650;EDİRNE;640
651;EDREMİT;302
652;EFLANİ;305
653;EGEKENT;238
654;EGRİÇAM;951
655;EĞERCİ;272
656;EĞERCİ;361
657;EĞİL;306
658;EĞİRDİR;307
659;EĞİTİM;483
660;EKİNÖZÜ;308
661;ELBEYLİ;309
662;ELBİSTAN;310
663;ELDİVAN;311
664;ELEŞKİRT;312
665;ELMADAĞ;313
666;ELMALI;314
667;ELVANKENT;338
668;EMEK;182
669;EMEK;708
670;EMEK;724
671;EMEK;806
672;EMEK;855
673;EMET;315
674;EMİNÖNÜ;345
675;EMİRDAĞ;316
676;EMİRGAN;787
677;EMİRGAZİ;317
678;ENEZ;318
679;ERBAA;319
680;ERCİŞ;320
681;ERÇEK;470
682;ERDEK;321
683;ERDEMLİ;322
684;EREĞLİ;323
685;ERENKÖY;483
686;ERENKÖY;543
687;ERENLER;325
688;ERENLER;516
689;ERENTEPE;175
690;ERFELEK;326
691;ERGANİ;327
692;ERKİLET;562
693;ERKİLET KÖYLER;562
694;ERKMEN;628
695;ERMENEK;329
696;ERTUĞRUL;47
697;ERTUĞRUL;703
698;ERTUĞRULGAZİ;815
699;ERUH;330
700;ERYAMANEVLERİ;338
701;ERZİN;331
702;ESAT;201
703;ESENDERE;966
704;ESENEVLER;959
705;ESENLER;332
706;ESENŞEHİR;917
707;ESENTEPE;61
708;ESENTEPE;524
709;ESENTEPE;864
710;ESENYALI;746
711;ESENYURT;333
712;ESERTEPE;535
713;ESKİCAMİ;841
714;ESKİL;334
715;ESKİMİDYAT;682
716;ESKİPAZAR;335
717;ESKİSANAYİ;691
718;ESKİSARAY;627
719;ESPİYE;336
720;EŞME;337
721;EŞREFPAŞA;565
722;ETİLER;139
723;ETİMESGUT;338
724;ETLİK;535
725;EVCİLER;131
726;EVCİLER;339
727;EVKA1;171
728;EVREN;340
729;EVRENSEKİZ;604
730;EVREŞE;360
731;EYNESİL;341
732;EYÜP;342
733;EYÜPSULTAN;770
734;EYYÜBİYE;343
735;EZİNE;344
736;FABRİKALAR;667
737;FAHRETTİNALTAY;499
738;FATİH;796
739;FATİH;815
740;FATİH;879
741;FATSA;346
742;FEKE;347
743;FELAHİYE;348
744;FENERBAHÇE;483
745;FENERYOLU;483
746;FERAH;920
747;FERHATPAŞA;85
748;FERİKÖY;864
749;FERİZLİ;349
750;FETHİYE;350
751;FEVZİ ÇAKMAK;562
752;FEVZİÇAKMAK;629
753;FEVZİÇAKMAK;879
754;FEVZİPAŞA;806
755;FEYZULLAH;610
756;FINDIKLI;351
757;FİKİRTEPE;483
758;FİNİKE;352
759;FİRUZKÖY;88
760;FLORYA;110
761;FOÇA;353
762;GAP;668
763;GAYRETTEPE;139
764;GAZİ;809
765;GAZİ;951
766;GAZİEMİR;354
767;GAZİKENT;855
768;GAZİOSMANPAŞA;355
769;GAZİPAŞA;356
770;GAZİPAŞA;806
771;GEBZE;357
772;GEDİZ;358
773;GELENBE;552
774;GELENDOST;359
775;GELİBOLU;360
776;GEMEREK;361
777;GEMLİK;362
778;GENÇ;363
779;GENÇLİK;691
780;GENERALHİKMETAKINCI;630
781;GERCÜŞ;364
782;GEREDE;365
783;GERGER;366
784;GERMENCİK;367
785;GERZE;368
786;GESİ;620
787;GEVAŞ;369
788;GEYİKLİ;344
789;GEYİKPINAR;696
790;GEYRAS;659
791;GEYVE;370
792;GÖBEL;838
