mahalle;semt_bucak_belde_id
ÇAĞŞIRLI MAH.;1121
ÇAKIRÖREN MAH.;1121
ÇAVUŞLU MAH.;1121
ÇİMELİ MAH.;1121
ÇUKURKAMIŞ MAH.;1121
DAMLAPINAR MAH.;1121
DEVELİÖREN MAH.;1121
DOLAPLI MAH.;1121
GÖLKAYA MAH.;1121
HACIHASAN MAH.;1121
HASIRAĞACI MAH.;1121
HELVACI MAH.;1121
İNNEPLİHÜYÜĞÜ MAH.;1121
İSAHACILI MAH.;1121
KAPI MAH.;1121
KARAGÖÇER MAH.;1121
KARATAŞ MAH.;1121
KARŞIYAKA MAH.;1121
KEMALİYE MAH.;1121
KESİK MAH.;1121
KIRHASAN MAH.;1121
KIZILTAHTA MAH.;1121
KİREMİTLİ MAH.;1121
MELETMEZ MAH.;1121
ORTA MAH.;1121
OYMAKLI MAH.;1121
SARIMSAK MAH.;1121
SİRKENLİ MAH.;1121
TABAKLAR MAH.;1121
TABUR MAH.;1121
TERLİKSİZ MAH.;1121
TOPRAKLI MAH.;1121
TUZKUYUSU MAH.;1121
TUZLA MAH.;1121
YASSIVEREN MAH.;1121
YEMİŞLİ MAH.;1121
YENİ MAH.;1121
YENİMURAT MAH.;1121
YÜZBAŞI MAH.;1121
GAZİ MAH.;891
HACIBEYLİ MAH.;891
ACARMANTAŞ MAH.;1060
AKARCA MAH.;1060
AKÇALIUŞAĞI MAH.;1060
AKDAM MAH.;1060
AKKAYA MAH.;1060
ALAPINAR MAH.;1060
ANDIL MAH.;1060
YUKARIKEÇİLİ MAH.;1060
YÜKSEKÖREN MAH.;1060
ZERDALİ MAH.;1060
AĞLIBOĞAZ MAH.;1244
ARSLANPAŞA MAH.;1244
BAĞLAR MAH.;1244
CUMHURİYET MAH.;1244
ÇANAKLI MAH.;1244
HACIUŞAĞI MAH.;1244
KARACAOĞLAN MAH.;1244
MAHMUTLU MAH.;1244
ŞEVKİYE MAH.;1244
TAŞ MAH.;1244
TAVŞANTEPE MAH.;1244
TUFANPAŞA MAH.;1244
TÜRKELİ MAH.;1244
VARSAKLAR MAH.;1244
YARIMOĞLU MAH.;1244
AKÇATEKİR MAH.;46
ALPU MAH.;793
AŞÇIBEKİRLİ MAH.;793
BELEMEDİK MAH.;793
ÇAMLIBEL MAH.;793
DAĞDİBİ MAH.;793
ESKİKONACIK MAH.;793
FINDIKLI MAH.;793
GÖKBEZ MAH.;793
HAMİDİYE MAH.;793
KAMIŞLI MAH.;793
KARAKIŞLAKÇI MAH.;793
ÖMERLİ MAH.;793
YAĞLITAŞ MAH.;793
YAZICAK MAH.;793
YENİKONACIK MAH.;793
YUKARIBELEMEDİK MAH.;793
CUMHURİYET MAH.;1973
İSTİKLAL MAH.;1973
KURTULUŞ MAH.;1973
ZAFER MAH.;1973
AKSAAĞAÇ MAH.;1996
AVCIPINARI MAH.;1996
AYVACIK MAH.;1996
BEYPINARI MAH.;1996
CIVIKLI MAH.;1996
CUMHURLU MAH.;1996
ÇATAK MAH.;1996
ÇERALAN MAH.;1996
ÇORAK MAH.;1996
DEĞİRMENCİUŞAĞI MAH.;1996
EYÜPLÜ MAH.;1996
FATİH MAH.;1996
GÖKMENLER MAH.;1996
GÜRLEŞEN MAH.;1996
HALİLBEYLİ MAH.;1996
HİMMETLİ MAH.;1996
İSLAM MAH.;1996
KANDİLLİ MAH.;1996
KAPAKLIKUYU MAH.;1996
KARAKUYU MAH.;1996
KIZILAĞAÇ MAH.;1996
MAHMUTLU MAH.;1996
NALTAŞ MAH.;1996
TOPALLAR MAH.;1996
